X1 	 -318 X2 	 -240 	 Y1 	 40 Y2 -34 	 Z1 	 -2 Z2 	 243 
X1 	 -326 X2 	 -272 	 Y1 	 3 Y2 -34 	 Z1 	 5 Z2 	 288 
X1 	 -325 X2 	 -246 	 Y1 	 5 Y2 -29 	 Z1 	 25 Z2 	 145 
X1 	 -323 X2 	 -269 	 Y1 	 29 Y2 -43 	 Z1 	 19 Z2 	 379 
X1 	 -282 X2 	 -247 	 Y1 	 19 Y2 -31 	 Z1 	 -14 Z2 	 377 
X1 	 -318 X2 	 -243 	 Y1 	 15 Y2 -60 	 Z1 	 44 Z2 	 94 
X1 	 -349 X2 	 -273 	 Y1 	 6 Y2 -40 	 Z1 	 39 Z2 	 133 
X1 	 -334 X2 	 -258 	 Y1 	 9 Y2 -8 	 Z1 	 4 Z2 	 240 
X1 	 -346 X2 	 -279 	 Y1 	 13 Y2 -47 	 Z1 	 13 Z2 	 241 
X1 	 -321 X2 	 -221 	 Y1 	 -21 Y2 -54 	 Z1 	 31 Z2 	 343 
X1 	 -327 X2 	 -239 	 Y1 	 12 Y2 -43 	 Z1 	 34 Z2 	 240 
X1 	 -314 X2 	 -266 	 Y1 	 11 Y2 -42 	 Z1 	 -19 Z2 	 293 
X1 	 -321 X2 	 -250 	 Y1 	 23 Y2 -1 	 Z1 	 30 Z2 	 197 
X1 	 -322 X2 	 -272 	 Y1 	 36 Y2 -16 	 Z1 	 29 Z2 	 203 
X1 	 -317 X2 	 -245 	 Y1 	 -24 Y2 -82 	 Z1 	 -6 Z2 	 310 
X1 	 -305 X2 	 -255 	 Y1 	 16 Y2 -40 	 Z1 	 35 Z2 	 238 
X1 	 -294 X2 	 -233 	 Y1 	 76 Y2 -101 	 Z1 	 14 Z2 	 405 
X1 	 -304 X2 	 70 	 Y1 	 29 Y2 -56 	 Z1 	 22 Z2 	 343 
X1 	 -361 X2 	 377 	 Y1 	 -16 Y2 38 	 Z1 	 30 Z2 	 76 
X1 	 -321 X2 	 -137 	 Y1 	 47 Y2 9 	 Z1 	 12 Z2 	 389 
X1 	 -374 X2 	 -637 	 Y1 	 515 Y2 235 	 Z1 	 -449 Z2 	 625 
X1 	 -231 X2 	 291 	 Y1 	 67 Y2 15 	 Z1 	 28 Z2 	 147 
X1 	 -455 X2 	 -483 	 Y1 	 178 Y2 118 	 Z1 	 -25 Z2 	 199 
X1 	 -479 X2 	 -527 	 Y1 	 222 Y2 99 	 Z1 	 28 Z2 	 328 
X1 	 -382 X2 	 681 	 Y1 	 160 Y2 200 	 Z1 	 38 Z2 	 162 
X1 	 -502 X2 	 -316 	 Y1 	 308 Y2 324 	 Z1 	 -54 Z2 	 610 
X1 	 -488 X2 	 -49 	 Y1 	 325 Y2 515 	 Z1 	 56 Z2 	 -398 
X1 	 -378 X2 	 256 	 Y1 	 681 Y2 842 	 Z1 	 -84 Z2 	 104 
X1 	 -328 X2 	 -424 	 Y1 	 377 Y2 510 	 Z1 	 -75 Z2 	 1071 
X1 	 -2 X2 	 -510 	 Y1 	 673 Y2 791 	 Z1 	 300 Z2 	 -2038 
X1 	 -476 X2 	 -479 	 Y1 	 589 Y2 878 	 Z1 	 20 Z2 	 1257 
X1 	 -737 X2 	 -912 	 Y1 	 608 Y2 796 	 Z1 	 -391 Z2 	 1344 
X1 	 -852 X2 	 -679 	 Y1 	 1003 Y2 1179 	 Z1 	 -317 Z2 	 -73 
X1 	 -834 X2 	 -1737 	 Y1 	 1083 Y2 1246 	 Z1 	 -201 Z2 	 94 
X1 	 -838 X2 	 -1461 	 Y1 	 1362 Y2 1844 	 Z1 	 -52 Z2 	 -200 
X1 	 -771 X2 	 -662 	 Y1 	 1245 Y2 2069 	 Z1 	 -12 Z2 	 -538 
X1 	 -511 X2 	 -2570 	 Y1 	 1378 Y2 2216 	 Z1 	 -48 Z2 	 272 
X1 	 -442 X2 	 -1772 	 Y1 	 1486 Y2 1947 	 Z1 	 -185 Z2 	 132 
X1 	 -402 X2 	 -912 	 Y1 	 1459 Y2 2122 	 Z1 	 -72 Z2 	 259 
X1 	 -272 X2 	 -697 	 Y1 	 1626 Y2 2343 	 Z1 	 -162 Z2 	 991 
X1 	 -302 X2 	 -3263 	 Y1 	 1357 Y2 2045 	 Z1 	 261 Z2 	 494 
X1 	 -117 X2 	 -667 	 Y1 	 1769 Y2 2331 	 Z1 	 -257 Z2 	 -219 
X1 	 -11 X2 	 -859 	 Y1 	 1747 Y2 2291 	 Z1 	 -216 Z2 	 503 
X1 	 -7 X2 	 -1357 	 Y1 	 1740 Y2 2269 	 Z1 	 -213 Z2 	 294 
